,content,sentiment
0,"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger
1,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless,anger
2,This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards,anger
3,@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me ðŸ˜,anger
4,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ  #soreloser,anger
5,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ #bitter #soreloser,anger
6,wanna go home and focus up on this game . Don't wanna rage at all,anger
7,@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” #furious,anger
8,@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” ,anger
9,I wanna see you smile I don't wanna see you make a frown,anger
10,@shae_caitlin ur road rage gives me anxiety.,anger
11,@eMilsOnWheels I'm furious ðŸ˜©ðŸ˜©ðŸ˜©,anger
12,@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger
13,They gonna give this KKk police bitch the minimum sentence..just wattch #angry,anger
14,They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
15,I just got murdered in madden. ðŸ¤•,anger
16,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©,anger
17,@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction,anger
18,new madden 16 video was gonna be up but xbox is being an ahole and not going through ðŸ™„ðŸ™„ #struggles,anger
19,"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger
20,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry,anger
21,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger
22,I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh ðŸ˜…,anger
23,@crystaldiamondo impossible to say. We can only hope that I donâ€™t unwittingly trigger her ferocious side again. Hell hath no fury..,anger
24,@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.,anger
25,Autocorrect changes ''em' to 'me' which I resent greatly,anger
26,Candice on great british bake off with that pout does my head in ðŸ‘ŠðŸ»ðŸ™„,anger
27,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger
28,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,anger
29,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle,anger
30,Fast and furious 6 this Monday 10 pm on mbc 2 ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,anger
31,"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.",anger
32,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger
33,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed ,anger
34,At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily,anger
35,When you want to say something so bad but can't ! #furious ðŸ˜¤,anger
36,â€œCompetition is suppose to motivate you to do better everytime not to be bitter all the timeâ€ -De philosopher DJ Kyos \n#quote #success #CSGO,anger
37,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger
38,@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,anger
39,Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜  #angry #Rooney #mufc,anger
40,Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜   #Rooney #mufc,anger
41,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey,anger
42,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy?  #leictershireaway #therey,anger
43,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos,anger
44,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! ,anger
45,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging,anger
46,Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
47,If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,anger
48,Star trek online has a update to download oh fuming yay,anger
49,@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼,anger
50,"@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.",anger
51,The war is right outside your door #rage #USAToday,anger
52,The war is right outside your door  #USAToday,anger
53,"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger
54,@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC,anger
55,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl,anger
56,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,anger
57,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling",anger
58,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? ",anger
59,@louiseannexx u fucked my house up I'll always hold a grudge,anger
60,@josefcd904 @Reddou_Kun @deven_luca @supersoniclemon He also likes incurring Lily's wrath.,anger
61,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' #revenge!,anger
62,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !,anger
63,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame,anger
64,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite ,anger
65,"@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --",anger
66,After what just happened. In need to smoke. #burning,anger
67,After what just happened. In need to smoke. ,anger
68,I really wish my road rage wasn't so damn bad lmaooooo,anger
69,"@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs",anger
70,"@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?",anger
71,when you think you've got it together for a day then you randomly burst out crying,anger
72,"You offend me, @Tansorma",anger
73,@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing,anger
74,"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY",anger
75,"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz  #HONEY",anger
76,@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything,anger
77,I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge,anger
78,@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.,anger
79,@Alex_Philip2648 it's a step up from boiling broccoli tbh,anger
80,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus ,anger
81,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter,anger
82,"@EE whats with the 50p a minute charge to 150, insult to injury",anger
83,"Last night, the Rev. Dr. Earl Johnson spoke to Wake Progressive #Democrats on transforming #moral #outrage into effective political #action.",anger
84,Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.,anger
85,I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! #fuming,anger
86,I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! ,anger
87,"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",anger
88,Police: Atlanta rapper Shawty Lo killed in fiery car crash,anger
89,@JamieRJN She's all over the political map in her relentless pursuit of power.,anger
90,No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE,anger
91,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger
92,"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,",anger
93,Weak people revenge. Strong people forgive. Intelligent people ignore.,anger
94,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered,anger
95,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger
96,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered,anger
97,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered,anger
98,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn,anger
99,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn,anger
100,Nothing is more relentless than a dog begging for food,anger
101,ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....,anger
102,@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.,anger
103,People that smoke cigarettes irritate my soul.,anger
104,Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ ,anger
105,Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ #raging,anger
106,Threat factors in respect to provocation bulb worm: BnQo,anger
107,#Scorpio always seek revenge!,anger
108,"â€” Self-hatred gives rise to fury, fury to the desire for self-change.",anger
109,You sting like a bee but you're still my honey.,anger
110,"if u have time 2 open a snap, u have time 2 respond",anger
111,"This may offend some, but I say u never trust a cop ðŸš“ of any color, but especially not a white 1(the evidence is clear)! The klan has awoke",anger
112,"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming",anger
113,"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. ",anger
114,"#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.",anger
115,"#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .",anger
116,@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.,anger
117,The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment,anger
118,"People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent",anger
119,"Be quick to #listen, slow to #speak, and slow to #anger.",anger
120,"Be quick to #listen, slow to #speak, and slow to .",anger
121,"@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine",anger
122,Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
123,troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.,anger
124,We floated like butterflies. Now you sting like bees!',anger
125,"I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.",anger
126,Ok but how are the fast &amp; furious movies NOT classified as comedy's? ðŸ¤”,anger
127,@Shonna_Ludi @_braaaat_ ðŸ˜‚ðŸ˜‚ðŸ˜­ðŸ˜­ðŸ˜­ resentment,anger
128,no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute,anger
129,@JankHambrams You sound like my husband @Enistachia ... he makes hotter and hotter sauce - the fiery torment brings him mouth-joy! ðŸ”¥,anger
130,"warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~",anger
131,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #unfair #ugh,anger
132,A black female LEOðŸ’™ was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive,anger
133,@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?,anger
134,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD,anger
135,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower  #rawr #ChicagoPD,anger
136,I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.,anger
137,Panpiper playing Big River outside The Bridges in SR1 #outrage,anger
138,Panpiper playing Big River outside The Bridges in SR1 ,anger
139,I base when it's going to rain here off of brills snap stories.,anger
140,@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!,anger
141,"@mattstottwrites For me not so much outrage as â€˜oh, using female body to sell something, AGAINâ€™",anger
142,Congrats to #Nicole #bb18 ... Fix that nose now ðŸ˜’ðŸ’ðŸ» #bitter #petty,anger
143,Congrats to #Nicole #bb18 ... Fix that nose now ðŸ˜’ðŸ’ðŸ»  #petty,anger
144,"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of Â£20 - I was fuming @EmmaGould_ I miss you",anger
