Tweet,Affect Dimension
@Chan_lfc10 @paul_rule @Nuttall1878 @DeadlineDayLive @Everton We'd be fuming if the hijacked our £8m move for a relegated full back 😡,anger
#CNN really needs to get out of the #Propaganda Business.. 30 seconds on USN fallen Soldiers tragedy. Right back at spewing #hatred #POTUS,anger
Don't fucking tag me in pictures as 'family first' when you cut me out 5 years ago. You're no one to me. ,anger
sick of this shit. #mad #angry. Rowan Atkinson Is Not Dead. Just A Bloody Online Hoax😡😡😡😡🤬🤬🤬🤬,anger
"I despair at the mouth foaming hostility &amp; dishonesty of those in the Leave camp, &amp; we should expose that.",anger
"@F1 Why announcing so late, it will be hard to make it from Manchester and organising a day off. #sad",anger
#DamilolaOurLovedBoy So upsetting 😢😢. Why do people want to hurt others! Such a cruel world we live in #heartbreaking,anger
I spotted the fed and all I got was #Ejaculating live bees and the bees are #angry.,anger
"@MarkRDuckett it did, i saw the tweet, it had a crack at u, about a greens tweet. it holds a grudge dude. so pathetic.",anger
Head hurting 😤,anger
@JustHerrick @iPhone_News Piece of #crap,anger
So disappointed in myself for spending £50 on an outfit for meeting a boy #noselfcontrol #nervous,anger
Saw my first Larsen trap today with stressed magpie. I NEVER EVER want to see that again  #angry #distressed #wildlife,anger
"@Argos_Online customer service is dreadful, phone bill is huge and get passed from person 2 person and keep taking money off my card #idiots",anger
Great...So I got up at 5am only to discover that my Amazon Prime Day deal was $30 more than the regular price. 😡,anger
@GirlPosts @_matdtaylor actually how annoyed you get 😂,anger
@Zineeta_R @RusEmbUSA @mfa_russia The hatred and fear many russians have for anything non-russian is just sad.,anger
@hollloman @nessa_babbby @ajvannozzi97 As half a set of twins I resent that!,anger
"I feel exhausted ...\nI tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! 😟💔📢\n#exist #weary #misonorotta",anger
Why have #Emmerdale had to rob #robron of having their first child together for that vile woman/cheating sl smh #bitter,anger
How come quiet well behaved cats and dogs have to ride on a plane in a tiny bag while screaming small humans roam free? #outrage #teampet,anger
Hey @NHSEngland imagine being blue lighted to hospital unable to breathe only to be dumped in a cubicle and not seen for 4 hours #horrendous,anger
"[ @TheChicMystique ] — hurting badly and that he can't just leave him like that. Angry and heartless. ]\n\nI promise you that I'll be back, —",anger
Shit getting me irritated 😠,anger
There's still sadness and hatred pero i do feel better than yesterday.,anger
Outside has basically become a horror movie where gypsy moths take over the world by flitting aggressively about.\n\n#creaturedoublefeature,anger
"@JackRuff4 They have this horrible pudding here. Butterscotch pudding on Mondays, it's dreadful. #Fringe",anger
@Delta.  Are you kidding?  Delayed from 7:30pm to 11:00 - only to cancel it because the pilot is overtime. ,anger
My dog wouldn't stop barking so now I'm up at eight am with a raging headache,anger
How shit and depressing is this weather wish I can travel the world for a living,anger
@MafiaWorldMario Stg everybody say that 😂 then when we tell them they got huff they be mad as shit,anger
